product;sourceService;targetService;protocol;port;description
VBR;Veeam Backup & Replication console;Backup server;TCP;9396;Port used by the Veeam.Backup.UIService process for managing database connections.
VBR;Veeam Backup & Replication console;Backup server;TCP;9401;[Remote console only] Port used by the Veeam Backup & Replication console during Windows file-level recovery. Required to perform Copy to and Mount to console operations.
VBR;Veeam Backup & Replication console;Backup server;TCP;10003;[Remote console only] Port used by the Veeam Backup & Replication console to connect to the backup server only when managing the Veeam Cloud Connect infrastructure.
VBR;Veeam Backup & Replication console;Mount server;TCP;2500 to 3300;[Remote console only] Default range of ports used as data transmission channels. For every TCP connection that a job uses, one port from this range is assigned. This port is used if the mount server is not located on the console. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Veeam Backup & Replication console;Veeam AI Assistant (rest-ai.veeam.com);TCP;443;Default port for communication with the Veeam AI Assistant service.
VBR;Veeam Backup & Replication console;Nutanix AHV Plug-in for Veeam Backup & Replication;TCP;8543;Port used by the Veeam Backup & Replication console to communicate with Nutanix AHV Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;oVirt KVM Plug-in for Veeam Backup & Replication;TCP;8544;Port used by the Veeam Backup & Replication console to communicate with oVirt KVM Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;Proxmox Virtual Environment Plug-in for Veeam Backup & Replication;TCP;8545;Port used by the Veeam Backup & Replication console to communicate with Proxmox Virtual Environment Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;AWS Plug-in for Veeam Backup & Replication;TCP;9402;Port used by the Veeam Backup & Replication console to communicate with AWS Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;Google Cloud Plug-in for Veeam Backup & Replication;TCP;9403;Port used by the Veeam Backup & Replication console to communicate with Google Cloud Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;Kasten Plug-in for Veeam Backup & Replication;TCP;9404;Port used by the Veeam Backup & Replication console to communicate with Kasten Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;Microsoft Azure Plug-in for Veeam Backup & Replication;TCP;20443;Port used by the Veeam Backup & Replication console to communicate with Microsoft Azure Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;445 135;Required for deploying Veeam Backup & Replication components.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;6160;Default port used by Veeam Installer Service.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;6162;Default port used by Veeam Data Mover Service.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;49152 to 65535;Dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft KB article . Note: If you use default Microsoft Windows firewall settings, you do not need to configure dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on how to configure RPC dynamic port allocation to work with firewalls, see this Microsoft KB article.
VBR;Backup server;Backup proxy (Linux);TCP;22;Default SSH port used as a control channel.
VBR;Backup server;Backup proxy (Linux);TCP;6160;Default port used by Veeam Installer Service for Linux.
VBR;Backup server;Backup proxy (Linux);TCP;6162;Default port used by Veeam Data Mover Service. You can specify a different port while adding the Linux server to the Veeam Backup & Replication infrastructure. Note that you can specify a different port only if there is no previously installed Veeam Data Mover on this Linux server. For more information, see Specify Credentials and SSH Settings.
VBR;Backup server;Backup proxy;TCP;2500 to 3300;Default range of ports used as data transmission channels and for collecting log files. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Backup proxy;TCP;6210;Default port used by the Veeam Backup VSS Integration Service for taking a VSS snapshot during the SMB file share backup.
VBR;Backup proxy;Backup server;TCP;2500 to 3300;Default range of ports used for malware detection metadata transfer.
VBR;Backup proxy;vCenter Server;TCP;443;Default VMware web service port that can be customized in vCenter settings.
VBR;Backup proxy;ESXi server;TCP;902;Default VMware port used for data transfer. This port is not required for VMware Cloud on AWS.
VBR;Backup proxy;ESXi server;TCP;443;Default VMware web service port that can be customized in ESXi host settings. Not required if vCenter connection is used. This port is not required for VMware Cloud on AWS.
VBR;Backup proxy;Gateway server;TCP;2500 to 3300;Default range of ports used as transmission channels. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup proxy;Backup proxy;TCP;2500 to 3300;Default range of ports used as transmission channels for replication jobs. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;445 135;Required for deploying Veeam Backup & Replication components.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;6160;Default port used by Veeam Installer Service.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;6162;Default port used by Veeam Data Mover Service.
VBR;Backup server;Gateway server (Linux);TCP;22;Default SSH port used as a control channel.
VBR;Backup server;Gateway server (Linux);TCP;6160;Default port used by Veeam Installer Service for Linux.
